DV;Bloc;beta_interacao;se_interacao;p_interacao;AME_econ_Q1;AME_econ_Q3
impostos_altos;H3-Antimercado;0.2468;0.622;0.6916;-0.0457;-0.0342
déficit_federal_grande;H7-Ideologia;0.6447;0.6859;0.3473;-0.4423;-0.356
gasto_ajuda_externa;H4-Antiestrangeiro;-0.4274;0.5962;0.4735;-0.1403;-0.1759
temos_imigrantes_demais;H4-Antiestrangeiro;-0.0785;0.7589;0.9176;0.0399;0.0716
deduções_demais_empresas;H3-Antimercado;0.6758;0.5737;0.2389;0.3738;0.3441
educação_qualificação_profissional;H5-Antitrabalho;0.3967;0.7248;0.5841;0.3387;0.2808
seguridade_social_previdência;H7-Ideologia;0.6018;0.6485;0.3534;-0.1092;-0.1259
mulheres_minorias_têm;H7-Ideologia;-0.6581;0.7649;0.3896;0.0201;0.0655
pessoas_dão_valor;H3-Antimercado;0.3777;0.5996;0.5287;0.0606;0.0917
governo_regulamenta_negócios;H3-Antimercado;0.8094;0.7515;0.2814;0.0458;0.0411
pessoas_poupam_bastante;H3-Antimercado;1.3324;0.6342;0.0357;0.0169;0.017
empresas_lucram_demais;H3-Antimercado;-0.1146;0.6378;0.8574;0.0038;0.0019
altos_executivos_ganham;H3-Antimercado;0.9034;0.5257;0.0857;0.1532;0.1241
produtividade_aumentando_devagar;H6-Pessimista;0.1337;0.8247;0.8712;0.633;0.5986
tecnologia_causa_demissões;H5-Antitrabalho;-0.2347;0.5595;0.6748;0.1814;0.1656
empresas_estão_enviando;H5-Antitrabalho;0.5092;0.6187;0.4105;0.3645;0.3845
empresas_estão_reduzindo;H5-Antitrabalho;0.4446;0.5782;0.442;0.4146;0.392
empresas_investem_suficiente;H5-Antitrabalho;0.7792;0.5536;0.1593;0.1825;0.2086
corte_impostos;H3-Antimercado;-1.2652;0.5891;0.0317;-0.5455;-0.2108
mulheres_força_trabalho;H3-Antimercado;0.4131;0.8572;0.6299;0.07;0.17
aumento_uso_tecnologia;H5-Antitrabalho;-8.5582;20276.8728;0.9997;0.116;0.1839
acordos_comerciais_outros;H4-Antiestrangeiro;-12.4845;275.7532;0.9639;0.0373;0.2097
redução_recente_postos;H5-Antitrabalho;12.7928;552.8998;0.9815;-0.3077;-0.6639
algumas_pessoas_dizem;H6-Pessimista;0.5958;0.5958;0.3173;-0.0233;-0.0194
acha_acordos_comerciais;H4-Antiestrangeiro;-15.5452;1051.4289;0.9882;0.2649;0.3345
quem_considera_maior;Percepção-Específica;-1.1213;0.6668;0.0926;-0.0392;-0.0356
acha_preços_combustíveis;Percepção-Específica;0.1296;0.8289;0.8758;-0.0164;-0.0125
acha_presidente_pode;Percepção-Específica;-0.0814;0.6759;0.9041;0.156;0.1087
acha_novos_postos;H5-Antitrabalho;-0.08;0.6635;0.904;-0.0694;-0.1123
desigualdade_entre_ricos;H6-Pessimista;0.7635;0.59;0.1956;0.0052;0.0068
últimos_20_anos;H6-Pessimista;-0.5525;0.612;0.3666;0.2804;0.3518
pensando_apenas_salários;H6-Pessimista;-0.5641;0.6386;0.3771;0.0107;0.0135
algumas_pessoas_dizem_2;H6-Pessimista;0.1982;0.6055;0.7434;-0.0331;-0.0331
próximos_cinco_anos;H6-Pessimista;-1.1636;0.735;0.1134;-0.3678;-0.3166
espera_geração_seus;H6-Pessimista;0.9246;0.643;0.1504;-0.055;-0.0484
filhos_menos_30;H6-Pessimista;0.6543;0.6776;0.3342;0.0234;0.017
reforma_previdência_necessária;H7-Ideologia;0.1244;0.5557;0.8229;-0.5084;-0.4138
reforma_trabalhista_necessária;H7-Ideologia;-0.0238;0.5763;0.9671;-0.4522;-0.3791
reforma_tributária_necessária;H7-Ideologia;1.0087;1.4633;0.4906;0.0955;0.1023
privatização_estatais_benéfica;H7-Ideologia;1.4178;1.0919;0.1941;-0.0361;-0.0484
produtos_importados_benéficos;H4-Antiestrangeiro;1.9691;1.5518;0.2045;0.8088;0.4773
corrupção_principal_causa;H7-Ideologia;1.1261;0.716;0.1158;-0.0985;-0.0798
taxa_juros_selic;H7-Ideologia;-11.9871;464.3477;0.9794;0.4481;0.7784
governo_atual_sabe;H7-Ideologia;-0.7783;0.8382;0.3532;0.2783;0.0928
governo_deve_intervir;H7-Ideologia;-0.1037;0.6482;0.8729;-0.0607;-0.0386
entrada_estrangeiros_mercado;H4-Antiestrangeiro;-0.5782;0.6096;0.3428;0.2041;0.2071
indústria_nacional_deve;H4-Antiestrangeiro;-0.1327;0.5938;0.8231;-0.0984;-0.1211
brasil_chance_virar;H6-Pessimista;-0.0516;0.57;0.9278;-0.2805;-0.3507
lucros_empresariais_ocorrem;H7-Ideologia;-0.7199;0.7506;0.3375;0.0058;0.0062
competição_entre_empresas;H5-Antitrabalho;15.5489;446.0278;0.9722;0.5853;0.1184
brasil_deveria_priorizar;H4-Antiestrangeiro;0.5583;0.5844;0.3394;-0.0268;-0.0264
automação_prejudica_mercado;H5-Antitrabalho;0.1186;0.7682;0.8773;-0.0291;-0.0184
brasil_deveria_adotar;H4-Antiestrangeiro;0.3089;0.7971;0.6984;0.2346;0.1456
