DV;Bloc;coef_econ_lpm;se_lpm;p_lpm;r2_lpm
impostos_altos;H3-Antimercado;-0.0231;0.0835;0.7821;0.2959
déficit_federal_grande;H7-Ideologia;-0.2349;0.1176;0.0458;0.3121
gasto_ajuda_externa;H4-Antiestrangeiro;-0.0697;0.0814;0.3921;0.1823
temos_imigrantes_demais;H4-Antiestrangeiro;0.0123;0.07;0.861;0.0412
deduções_demais_empresas;H3-Antimercado;0.138;0.1024;0.1776;0.0556
educação_qualificação_profissional;H5-Antitrabalho;0.1419;0.0841;0.0918;0.0689
seguridade_social_previdência;H7-Ideologia;-0.0907;0.0912;0.3202;0.1818
mulheres_minorias_têm;H7-Ideologia;-0.0127;0.0761;0.8679;0.1667
pessoas_dão_valor;H3-Antimercado;0.0284;0.104;0.7846;0.1864
governo_regulamenta_negócios;H3-Antimercado;0.0009;0.0893;0.9916;0.559
pessoas_poupam_bastante;H3-Antimercado;-0.0557;0.1081;0.6066;0.13
empresas_lucram_demais;H3-Antimercado;0.0192;0.1212;0.874;0.2843
altos_executivos_ganham;H3-Antimercado;-0.0003;0.1013;0.9976;0.33
produtividade_aumentando_devagar;H6-Pessimista;0.2666;0.079;0.0007;0.2047
tecnologia_causa_demissões;H5-Antitrabalho;0.0904;0.0789;0.2522;0.1251
empresas_estão_enviando;H5-Antitrabalho;0.1423;0.0763;0.0621;0.0518
empresas_estão_reduzindo;H5-Antitrabalho;0.1802;0.1151;0.1175;0.1322
empresas_investem_suficiente;H5-Antitrabalho;0.0589;0.1247;0.6364;0.0876
corte_impostos;H3-Antimercado;-0.0729;0.1271;0.5662;0.2394
mulheres_força_trabalho;H3-Antimercado;0.0502;0.0719;0.4851;0.4038
aumento_uso_tecnologia;H5-Antitrabalho;0.0483;0.0297;0.1039;0.0817
acordos_comerciais_outros;H4-Antiestrangeiro;-0.0684;0.0776;0.3777;0.0746
redução_recente_postos;H5-Antitrabalho;-0.1408;0.0608;0.0205;0.1014
algumas_pessoas_dizem;H6-Pessimista;-0.0723;0.1262;0.5667;0.08
acha_acordos_comerciais;H4-Antiestrangeiro;0.0248;0.0995;0.8035;0.0398
quem_considera_maior;Percepção-Específica;0.0652;0.1163;0.5751;0.1103
acha_preços_combustíveis;Percepção-Específica;-0.0178;0.088;0.8396;0.1192
acha_presidente_pode;Percepção-Específica;0.0903;0.0775;0.2441;0.1705
acha_novos_postos;H5-Antitrabalho;-0.0479;0.073;0.512;0.1968
desigualdade_entre_ricos;H6-Pessimista;-0.0219;0.1437;0.8791;0.1013
últimos_20_anos;H6-Pessimista;0.187;0.1416;0.1867;0.0757
pensando_apenas_salários;H6-Pessimista;0.0381;0.1172;0.7448;0.0336
algumas_pessoas_dizem_2;H6-Pessimista;-0.0245;0.101;0.8085;0.1222
próximos_cinco_anos;H6-Pessimista;-0.074;0.1155;0.5216;0.0256
espera_geração_seus;H6-Pessimista;-0.1263;0.1376;0.3585;0.066
filhos_menos_30;H6-Pessimista;-0.0513;0.1336;0.7012;0.1256
reforma_previdência_necessária;H7-Ideologia;-0.2407;0.1156;0.0374;0.1532
reforma_trabalhista_necessária;H7-Ideologia;-0.1936;0.1243;0.1193;0.1391
reforma_tributária_necessária;H7-Ideologia;-0.0121;0.0515;0.8146;0.0695
privatização_estatais_benéfica;H7-Ideologia;-0.0131;0.1036;0.8991;0.56
produtos_importados_benéficos;H4-Antiestrangeiro;0.173;0.0894;0.053;0.1862
corrupção_principal_causa;H7-Ideologia;-0.1066;0.0899;0.236;0.2795
taxa_juros_selic;H7-Ideologia;0.1902;0.0723;0.0085;0.1414
governo_atual_sabe;H7-Ideologia;0.1642;0.0958;0.0866;0.4935
governo_deve_intervir;H7-Ideologia;-0.0594;0.1071;0.5796;0.3012
entrada_estrangeiros_mercado;H4-Antiestrangeiro;0.1211;0.083;0.1448;0.0456
indústria_nacional_deve;H4-Antiestrangeiro;-0.0441;0.1109;0.6908;0.2977
brasil_chance_virar;H6-Pessimista;-0.1386;0.1212;0.2529;0.1092
lucros_empresariais_ocorrem;H7-Ideologia;0.0594;0.1037;0.5667;0.354
competição_entre_empresas;H5-Antitrabalho;0.0663;0.0469;0.1574;0.1291
brasil_deveria_priorizar;H4-Antiestrangeiro;-0.0452;0.1123;0.6875;0.2046
automação_prejudica_mercado;H5-Antitrabalho;-0.019;0.081;0.8144;0.1426
brasil_deveria_adotar;H4-Antiestrangeiro;0.0738;0.0674;0.2732;0.2853
