scenario;p0;n_econ;n_total;OR;power;power_pct
conservative;0.5;17;183;1.5;0.126;12.6%
conservative;0.5;17;183;2.0;0.282;28.2%
conservative;0.5;17;183;2.5;0.454;45.4%
conservative;0.5;17;183;3.0;0.608;60.8%
conservative;0.5;17;183;4.0;0.819;81.9%
conservative;0.5;30;300;1.5;0.185;18.5%
conservative;0.5;30;300;2.0;0.447;44.7%
conservative;0.5;30;300;2.5;0.684;68.4%
conservative;0.5;30;300;3.0;0.839;83.9%
conservative;0.5;30;300;4.0;0.967;96.7%
conservative;0.5;50;500;1.5;0.277;27.7%
conservative;0.5;50;500;2.0;0.654;65.4%
conservative;0.5;50;500;2.5;0.882;88.2%
conservative;0.5;50;500;3.0;0.968;96.8%
conservative;0.5;50;500;4.0;0.998;99.8%
conservative;0.5;100;1000;1.5;0.489;48.9%
conservative;0.5;100;1000;2.0;0.915;91.5%
conservative;0.5;100;1000;2.5;0.994;99.4%
conservative;0.5;100;1000;3.0;1.0;100.0%
conservative;0.5;100;1000;4.0;1.0;100.0%
uniform_likert;0.3333;17;183;1.5;0.118;11.8%
uniform_likert;0.3333;17;183;2.0;0.26;26.0%
uniform_likert;0.3333;17;183;2.5;0.423;42.3%
uniform_likert;0.3333;17;183;3.0;0.573;57.3%
uniform_likert;0.3333;17;183;4.0;0.793;79.3%
uniform_likert;0.3333;30;300;1.5;0.171;17.1%
uniform_likert;0.3333;30;300;2.0;0.414;41.4%
uniform_likert;0.3333;30;300;2.5;0.646;64.6%
uniform_likert;0.3333;30;300;3.0;0.81;81.0%
uniform_likert;0.3333;30;300;4.0;0.957;95.7%
uniform_likert;0.3333;50;500;1.5;0.254;25.4%
uniform_likert;0.3333;50;500;2.0;0.614;61.4%
uniform_likert;0.3333;50;500;2.5;0.854;85.4%
uniform_likert;0.3333;50;500;3.0;0.956;95.6%
uniform_likert;0.3333;50;500;4.0;0.997;99.7%
uniform_likert;0.3333;100;1000;1.5;0.45;45.0%
uniform_likert;0.3333;100;1000;2.0;0.889;88.9%
uniform_likert;0.3333;100;1000;2.5;0.989;98.9%
uniform_likert;0.3333;100;1000;3.0;0.999;99.9%
uniform_likert;0.3333;100;1000;4.0;1.0;100.0%
